epoch,train_loss,val_loss,val_acc,precision,recall,f1
1,1.0257892066538334,0.7858021762371064,0.666,0.6355528493564331,0.666,0.6468345203196539
2,0.6794742807298899,0.7558211691379547,0.694,0.7349411447817386,0.694,0.6889375175017394
3,0.5413899322301149,0.7770490618348121,0.697,0.6996701610140459,0.697,0.6863575494140669
4,0.42329609862715006,0.8566636328697205,0.691,0.6903518083246476,0.691,0.6837002738562562
5,0.3271938314139843,0.901768196195364,0.702,0.7003241197399092,0.702,0.6951589140191078
6,0.24571656411141157,0.932805379152298,0.704,0.7083182087318954,0.704,0.7057921399996311
7,0.17764849341847003,1.0185068829655648,0.7,0.7100277826795082,0.7,0.704191738729965
8,0.14397716461867094,1.0846251112669707,0.7,0.7050729653082277,0.7,0.7014647253626067
9,0.12186107980459929,1.137615001052618,0.696,0.6951769495177534,0.696,0.6937388983636624
10,0.10425675921328366,1.1402770617231726,0.704,0.7081327690973549,0.704,0.7053345009510964
